Video,t1Act1,t1Act2,t1ActAvg,t1Sent1,t1Sent2,t1SentAvg,t2Act1,t2Act2,t2ActAvg,t2Sent1,t2Sent2,t2SentAvg,t3Act1,t3Act2,t3ActAvg,t3Sent1,t3Sent2,t3SentAvg
2016 04 19 8,5,6,5.5,4,6,5.0,6.0,6,6.0,6.0,7,6.5,6.0,5.0,5.5,4.0,4.0,4.0
2016 04 19 9,6,6,6.0,6,7,6.5,5.0,5,5.0,5.0,6,5.5,4.0,5.0,4.5,6.0,6.0,6.0
2016 04 14 0,7,7,7.0,4,4,4.0,6.0,6,6.0,5.0,6,5.5,6.0,5.0,5.5,4.0,5.0,4.5
2016 04 14 1,7,7,7.0,4,3,3.5,8.0,6,7.0,5.0,4,4.5,7.0,7.0,7.0,4.0,4.0,4.0
2016 04 14 2,6,7,6.5,3,3,3.0,6.0,7,6.5,2.0,1,1.5,7.0,7.0,7.0,3.0,3.0,3.0
2016 04 14 3,7,6,6.5,2,2,2.0,5.0,6,5.5,3.0,3,3.0,7.0,6.0,6.5,4.0,3.0,3.5
2016 04 14 4,6,7,6.5,1,2,1.5,6.0,6,6.0,3.0,3,3.0,7.0,6.0,6.5,3.0,3.0,3.0
2016 04 14 5,7,7,7.0,3,3,3.0,8.0,6,7.0,1.0,2,1.5,7.0,7.0,7.0,3.0,3.0,3.0
2016 04 14 6,6,8,7.0,3,3,3.0,7.0,5,6.0,4.0,4,4.0,6.0,8.0,7.0,4.0,4.0,4.0
2016 04 14 7,6,6,6.0,4,4,4.0,5.0,5,5.0,5.0,5,5.0,5.0,6.0,5.5,6.0,4.0,5.0
2016 04 14 8,6,6,6.0,4,3,3.5,5.0,6,5.5,5.0,5,5.0,6.0,6.0,6.0,4.0,4.0,4.0
2016 04 14 9,7,7,7.0,3,4,3.5,7.0,7,7.0,3.0,3,3.0,6.0,6.0,6.0,3.0,4.0,3.5
2016 04 11 0,6,6,6.0,4,4,4.0,7.0,6,6.5,7.0,4,5.5,6.0,5.0,5.5,7.0,6.0,6.5
2016 04 11 1,7,7,7.0,6,7,6.5,5.0,5,5.0,8.0,5,6.5,5.0,4.0,4.5,5.0,7.0,6.0
2016 04 11 2,8,7,7.5,2,3,2.5,8.0,6,7.0,5.0,2,3.5,6.0,7.0,6.5,2.0,3.0,2.5
2016 04 11 3,6,7,6.5,4,3,3.5,10.0,7,8.5,4.0,4,4.0,7.0,6.0,6.5,6.0,4.0,5.0
2016 04 11 4,7,7,7.0,3,2,2.5,8.0,6,7.0,1.0,3,2.0,7.0,7.0,7.0,3.0,3.0,3.0
2016 04 11 5,4,6,5.0,7,8,7.5,5.0,5,5.0,8.0,7,7.5,4.0,5.0,4.5,7.0,6.0,6.5
2016 04 11 6,6,6,6.0,3,3,3.0,6.0,6,6.0,1.0,4,2.5,7.0,7.0,7.0,2.0,3.0,2.5
2016 04 11 7,6,7,6.5,2,3,2.5,7.0,6,6.5,4.0,4,4.0,7.0,7.0,7.0,3.0,3.0,3.0
2016 04 11 8,6,6,6.0,4,4,4.0,7.0,5,6.0,5.0,5,5.0,6.0,6.0,6.0,6.0,4.0,5.0
2016 04 11 9,8,7,7.5,3,2,2.5,8.0,8,8.0,2.0,3,2.5,8.0,6.0,7.0,2.0,4.0,3.0
2016 03 21 0,8,7,7.5,0,2,1.0,9.0,7,8.0,0.0,2,1.0,7.0,7.0,7.0,3.0,3.0,3.0
2016 03 21 1,6,8,7.0,8,9,8.5,6.0,5,5.5,10.0,7,8.5,6.0,6.0,6.0,7.0,6.0,6.5
2016 03 21 2,8,7,7.5,7,8,7.5,6.0,4,5.0,7.0,7,7.0,7.0,6.0,6.5,8.0,7.0,7.5
2016 03 21 3,4,5,4.5,5,5,5.0,5.0,5,5.0,5.0,5,5.0,3.0,5.0,4.0,5.0,4.0,4.5
2016 03 21 4,7,7,7.0,2,3,2.5,8.0,6,7.0,2.0,3,2.5,6.0,7.0,6.5,3.0,3.0,3.0
2016 03 21 5,7,7,7.0,3,3,3.0,9.0,6,7.5,4.0,3,3.5,7.0,6.0,6.5,3.0,3.0,3.0
2016 03 21 6,7,7,7.0,8,8,8.0,4.0,5,4.5,7.0,6,6.5,6.0,7.0,6.5,4.0,6.0,5.0
2016 03 21 7,6,6,6.0,4,6,5.0,6.0,6,6.0,8.0,3,5.5,7.0,7.0,7.0,4.0,6.0,5.0
2016 03 21 8,6,6,6.0,4,7,5.5,6.0,6,6.0,9.0,7,8.0,7.0,7.0,7.0,7.0,8.0,7.5
2016 03 21 9,6,6,6.0,4,4,4.0,8.0,6,7.0,8.0,6,7.0,4.0,7.0,5.5,6.0,4.0,5.0
2016 03 09 0,8,7,7.5,10,10,10.0,5.0,4,4.5,9.0,8,8.5,6.0,6.0,6.0,9.0,7.0,8.0
2016 03 09 1,7,6,6.5,3,4,3.5,6.0,7,6.5,4.0,3,3.5,6.0,6.0,6.0,4.0,3.0,3.5
2016 03 09 2,6,7,6.5,4,4,4.0,3.0,5,4.0,9.0,5,7.0,6.0,6.0,6.0,4.0,6.0,5.0
2016 03 09 3,7,6,6.5,4,7,5.5,5.0,6,5.5,3.0,6,4.5,6.0,6.0,6.0,7.0,6.0,6.5
2016 03 09 4,7,7,7.0,4,3,3.5,9.0,6,7.5,1.0,3,2.0,7.0,6.0,6.5,3.0,3.0,3.0
2016 03 09 5,5,6,5.5,8,8,8.0,8.0,5,6.5,10.0,8,9.0,5.0,6.0,5.5,8.0,7.0,7.5
2016 03 09 6,6,8,7.0,3,3,3.0,6.0,7,6.5,3.0,3,3.0,6.0,5.0,5.5,3.0,3.0,3.0
2016 03 09 7,6,7,6.5,7,9,8.0,5.0,5,5.0,8.0,8,8.0,7.0,5.0,6.0,8.0,7.0,7.5
2016 03 09 8,6,6,6.0,8,6,7.0,5.0,5,5.0,6.0,6,6.0,5.0,5.0,5.0,6.0,6.0,6.0
2016 03 09 9,6,6,6.0,10,8,9.0,5.0,5,5.0,7.0,7,7.0,4.0,4.0,4.0,6.0,6.0,6.0
2016 02 26 0,6,7,6.5,0,0,0.0,6.0,5,5.5,2.0,3,2.5,6.0,6.0,6.0,3.0,3.0,3.0
2016 02 26 1,7,6,6.5,1,2,1.5,6.0,6,6.0,2.0,3,2.5,6.0,7.0,6.5,3.0,3.0,3.0
2016 02 26 2,7,7,7.0,4,3,3.5,7.0,6,6.5,5.0,4,4.5,6.0,6.0,6.0,4.0,4.0,4.0
2016 02 26 3,7,7,7.0,0,0,0.0,6.0,7,6.5,2.0,2,2.0,7.0,7.0,7.0,3.0,3.0,3.0
2016 02 26 4,8,7,7.5,9,8,8.5,2.0,2,2.0,8.0,8,8.0,6.0,7.0,6.5,7.0,7.0,7.0
2016 02 26 5,6,6,6.0,6,6,6.0,5.0,5,5.0,8.0,7,7.5,4.0,6.0,5.0,6.0,4.0,5.0
2016 02 26 6,7,7,7.0,3,3,3.0,9.0,7,8.0,3.0,3,3.0,6.0,6.0,6.0,3.0,3.0,3.0
2016 02 26 7,6,6,6.0,7,7,7.0,5.0,2,3.5,6.0,5,5.5,4.0,4.0,4.0,7.0,5.0,6.0
2016 02 26 8,7,6,6.5,10,8,9.0,6.0,5,5.5,8.0,7,7.5,6.0,6.0,6.0,8.0,7.0,7.5
2016 02 26 9,6,6,6.0,8,7,7.5,5.0,5,5.0,10.0,6,8.0,4.0,6.0,5.0,6.0,6.0,6.0
2016 02 23 0,7,7,7.0,2,3,2.5,6.0,7,6.5,0.0,1,0.5,7.0,6.0,6.5,3.0,3.0,3.0
2016 02 23 1,5,6,5.5,7,6,6.5,6.0,5,5.5,8.0,5,6.5,3.0,4.0,3.5,7.0,6.0,6.5
2016 02 23 2,7,8,7.5,3,3,3.0,9.0,6,7.5,2.0,4,3.0,7.0,7.0,7.0,3.0,3.0,3.0
2016 02 23 3,8,7,7.5,2,3,2.5,8.0,6,7.0,7.0,5,6.0,7.0,6.0,6.5,3.0,4.0,3.5
2016 02 23 4,6,7,6.5,3,3,3.0,5.0,6,5.5,4.0,4,4.0,7.0,6.0,6.5,4.0,4.0,4.0
2016 02 23 5,6,6,6.0,7,8,7.5,5.0,5,5.0,8.0,7,7.5,5.0,5.0,5.0,7.0,7.0,7.0
2016 02 23 6,8,6,7.0,10,8,9.0,7.0,5,6.0,8.0,7,7.5,8.0,8.0,8.0,8.0,8.0,8.0
2016 02 23 7,8,7,7.5,1,2,1.5,9.0,7,8.0,1.0,3,2.0,8.0,7.0,7.5,2.0,2.0,2.0
2016 02 23 8,7,7,7.0,2,2,2.0,8.0,6,7.0,1.0,3,2.0,7.0,7.0,7.0,3.0,3.0,3.0
2016 02 23 9,6,6,6.0,5,6,5.5,6.0,5,5.5,4.0,5,4.5,7.0,7.0,7.0,4.0,4.0,4.0
2016 02 18 0,7,7,7.0,2,3,2.5,6.0,5,5.5,3.0,4,3.5,6.0,6.0,6.0,3.0,3.0,3.0
2016 02 18 1,7,7,7.0,2,3,2.5,10.0,8,9.0,1.0,1,1.0,7.0,7.0,7.0,3.0,3.0,3.0
2016 02 18 2,5,6,5.5,7,8,7.5,6.0,5,5.5,8.0,7,7.5,4.0,5.0,4.5,6.0,6.0,6.0
2016 02 18 3,6,6,6.0,6,6,6.0,5.0,2,3.5,5.0,7,6.0,6.0,6.0,6.0,6.0,6.0,6.0
2016 02 18 4,6,6,6.0,3,3,3.0,8.0,5,6.5,4.0,4,4.0,7.0,7.0,7.0,3.0,4.0,3.5
2016 02 18 5,6,6,6.0,3,2,2.5,6.0,6,6.0,2.0,3,2.5,6.0,6.0,6.0,3.0,2.0,2.5
2016 02 18 6,6,6,6.0,7,8,7.5,3.0,4,3.5,8.0,6,7.0,5.0,4.0,4.5,5.0,6.0,5.5
2016 02 18 7,7,7,7.0,3,2,2.5,6.0,6,6.0,3.0,4,3.5,7.0,6.0,6.5,3.0,3.0,3.0
2016 02 18 8,6,7,6.5,1,3,2.0,7.0,5,6.0,1.0,3,2.0,6.0,6.0,6.0,3.0,3.0,3.0
2016 02 18 9,6,6,6.0,10,7,8.5,5.0,5,5.0,8.0,6,7.0,5.0,4.0,4.5,7.0,6.0,6.5
2016 02 05 0,7,7,7.0,3,2,2.5,8.0,7,7.5,3.0,1,2.0,7.0,6.0,6.5,3.0,3.0,3.0
2016 02 05 1,7,7,7.0,2,3,2.5,6.0,6,6.0,5.0,4,4.5,7.0,6.0,6.5,3.0,4.0,3.5
2016 02 05 2,6,7,6.5,4,4,4.0,7.0,5,6.0,3.0,5,4.0,4.0,4.0,4.0,5.0,4.0,4.5
2016 02 05 3,7,6,6.5,0,0,0.0,6.0,8,7.0,1.0,3,2.0,7.0,7.0,7.0,3.0,3.0,3.0
2016 02 05 4,6,6,6.0,7,8,7.5,5.0,5,5.0,8.0,7,7.5,4.0,4.0,4.0,6.0,6.0,6.0
2016 02 05 5,6,6,6.0,3,3,3.0,6.0,5,5.5,4.0,4,4.0,6.0,5.0,5.5,4.0,4.0,4.0
2016 02 05 6,6,6,6.0,9,8,8.5,4.0,5,4.5,7.0,7,7.0,6.0,5.0,5.5,6.0,6.0,6.0
2016 02 05 7,7,7,7.0,3,3,3.0,8.0,6,7.0,2.0,3,2.5,7.0,7.0,7.0,3.0,3.0,3.0
2016 02 05 8,7,7,7.0,7,7,7.0,5.0,5,5.0,8.0,6,7.0,6.0,4.0,5.0,6.0,6.0,6.0
2016 02 05 9,6,7,6.5,2,3,2.5,7.0,6,6.5,3.0,4,3.5,7.0,7.0,7.0,3.0,4.0,3.5
2016 02 02 0,5,6,5.5,7,7,7.0,8.0,7,7.5,5.0,5,5.0,6.0,6.0,6.0,6.0,4.0,5.0
2016 02 02 1,6,6,6.0,2,1,1.5,6.0,6,6.0,3.0,4,3.5,6.0,5.0,5.5,4.0,3.0,3.5
2016 02 02 2,7,8,7.5,2,2,2.0,6.0,7,6.5,2.0,3,2.5,7.0,6.0,6.5,2.0,3.0,2.5
2016 02 02 3,7,7,7.0,3,3,3.0,7.0,5,6.0,4.0,5,4.5,5.0,5.0,5.0,4.0,5.0,4.5
2016 02 02 4,7,6,6.5,3,3,3.0,7.0,5,6.0,5.0,3,4.0,7.0,6.0,6.5,3.0,4.0,3.5
2016 02 02 5,5,6,5.5,5,4,4.5,8.0,6,7.0,0.0,2,1.0,7.0,6.0,6.5,6.0,5.0,5.5
2016 02 02 6,5,6,5.5,4,4,4.0,5.0,5,5.0,5.0,5,5.0,5.0,4.0,4.5,4.0,6.0,5.0
2016 02 02 7,6,6,6.0,7,7,7.0,5.0,5,5.0,5.0,7,6.0,4.0,4.0,4.0,7.0,6.0,6.5
2016 02 02 8,6,6,6.0,7,8,7.5,6.0,4,5.0,8.0,6,7.0,5.0,6.0,5.5,6.0,7.0,6.5
2016 02 02 9,6,6,6.0,7,8,7.5,2.0,2,2.0,7.0,6,6.5,7.0,6.0,6.5,6.0,6.0,6.0
2016 01 28 0,6,6,6.0,7,7,7.0,5.0,5,5.0,8.0,7,7.5,5.0,6.0,5.5,7.0,7.0,7.0
2016 01 28 1,6,7,6.5,7,4,5.5,5.0,5,5.0,5.0,6,5.5,6.0,6.0,6.0,3.0,4.0,3.5
2016 01 28 2,7,6,6.5,3,3,3.0,8.0,5,6.5,3.0,3,3.0,6.0,6.0,6.0,4.0,3.0,3.5
2016 01 28 3,6,6,6.0,7,6,6.5,4.0,5,4.5,7.0,6,6.5,5.0,5.0,5.0,5.0,6.0,5.5
2016 01 28 4,7,7,7.0,3,3,3.0,6.0,6,6.0,3.0,3,3.0,7.0,7.0,7.0,3.0,3.0,3.0
2016 01 28 5,7,7,7.0,3,3,3.0,6.0,6,6.0,4.0,3,3.5,6.0,6.0,6.0,3.0,3.0,3.0
2016 01 28 6,6,6,6.0,3,2,2.5,7.0,6,6.5,3.0,3,3.0,6.0,6.0,6.0,3.0,4.0,3.5
2016 01 28 7,5,6,5.5,10,10,10.0,5.0,4,4.5,8.0,8,8.0,4.0,5.0,4.5,7.0,7.0,7.0
2016 01 28 8,6,6,6.0,7,6,6.5,5.0,6,5.5,9.0,6,7.5,4.0,6.0,5.0,7.0,6.0,6.5
2016 01 28 9,6,7,6.5,9,9,9.0,5.0,3,4.0,10.0,8,9.0,5.0,6.0,5.5,7.0,7.0,7.0
2016 01 25 0,6,6,6.0,10,10,10.0,7.0,8,7.5,4.0,8,6.0,7.0,6.0,6.5,8.0,7.0,7.5
2016 01 25 1,7,7,7.0,7,7,7.0,7.0,4,5.5,7.0,7,7.0,6.0,6.0,6.0,7.0,7.0,7.0
2016 01 25 2,7,6,6.5,8,7,7.5,3.0,3,3.0,7.0,7,7.0,3.0,5.0,4.0,7.0,6.0,6.5
2016 01 25 3,6,7,6.5,6,7,6.5,5.0,5,5.0,7.0,6,6.5,6.0,5.0,5.5,7.0,6.0,6.5
2016 01 25 4,6,7,6.5,8,8,8.0,8.0,4,6.0,9.0,6,7.5,4.0,6.0,5.0,6.0,7.0,6.5
2016 01 25 5,6,7,6.5,2,2,2.0,7.0,6,6.5,1.0,2,1.5,7.0,8.0,7.5,2.0,3.0,2.5
2016 01 25 6,6,6,6.0,9,8,8.5,7.0,5,6.0,8.0,6,7.0,4.0,4.0,4.0,6.0,6.0,6.0
2016 01 25 7,7,7,7.0,10,8,9.0,5.0,5,5.0,8.0,7,7.5,4.0,5.0,4.5,6.0,6.0,6.0
2016 01 25 8,7,7,7.0,1,2,1.5,9.0,7,8.0,1.0,2,1.5,7.0,7.0,7.0,2.0,2.0,2.0
2016 01 25 9,7,6,6.5,9,9,9.0,6.0,5,5.5,8.0,7,7.5,6.0,5.0,5.5,8.0,7.0,7.5
2015 12 09 0,6,6,6.0,8,7,7.5,3.0,3,3.0,8.0,7,7.5,4.0,4.0,4.0,6.0,6.0,6.0
2015 12 09 1,6,6,6.0,3,4,3.5,6.0,5,5.5,6.0,5,5.5,4.0,4.0,4.0,3.0,4.0,3.5
2015 12 09 2,7,7,7.0,2,2,2.0,5.0,7,6.0,3.0,3,3.0,7.0,7.0,7.0,3.0,2.0,2.5
2015 12 09 3,6,6,6.0,6,4,5.0,6.0,5,5.5,7.0,6,6.5,5.0,5.0,5.0,5.0,4.0,4.5
2015 12 09 4,7,7,7.0,3,3,3.0,8.0,6,7.0,2.0,3,2.5,6.0,6.0,6.0,3.0,3.0,3.0
2015 12 09 5,6,6,6.0,6,7,6.5,3.0,4,3.5,8.0,6,7.0,6.0,4.0,5.0,7.0,6.0,6.5
2015 12 09 6,6,7,6.5,4,5,4.5,6.0,6,6.0,7.0,6,6.5,7.0,5.0,6.0,6.0,6.0,6.0
2015 12 09 7,7,8,7.5,10,10,10.0,5.0,5,5.0,10.0,9,9.5,4.0,6.0,5.0,9.0,8.0,8.5
2015 12 09 8,6,6,6.0,6,7,6.5,5.0,5,5.0,7.0,6,6.5,6.0,6.0,6.0,7.0,6.0,6.5
2015 12 09 9,6,6,6.0,4,3,3.5,5.0,5,5.0,6.0,5,5.5,4.0,5.0,4.5,5.0,4.0,4.5
2015 12 07 0,6,6,6.0,4,4,4.0,5.0,5,5.0,6.0,6,6.0,6.0,6.0,6.0,6.0,5.0,5.5
2015 12 07 1,6,7,6.5,2,3,2.5,6.0,6,6.0,2.0,4,3.0,6.0,6.0,6.0,3.0,3.0,3.0
2015 12 07 2,7,7,7.0,3,3,3.0,6.0,6,6.0,3.0,3,3.0,7.0,6.0,6.5,3.0,3.0,3.0
2015 12 07 3,7,7,7.0,4,3,3.5,6.0,6,6.0,4.0,4,4.0,6.0,6.0,6.0,3.0,4.0,3.5
2015 12 07 4,6,6,6.0,2,3,2.5,7.0,6,6.5,3.0,3,3.0,7.0,6.0,6.5,3.0,3.0,3.0
2015 12 07 5,7,7,7.0,3,3,3.0,7.0,6,6.5,5.0,3,4.0,7.0,6.0,6.5,3.0,3.0,3.0
2015 12 07 6,6,6,6.0,10,9,9.5,6.0,5,5.5,10.0,8,9.0,6.0,6.0,6.0,7.0,8.0,7.5
2015 12 07 7,6,7,6.5,2,3,2.5,6.0,7,6.5,3.0,3,3.0,5.0,6.0,5.5,3.0,4.0,3.5
2015 12 07 8,6,7,6.5,7,4,5.5,5.0,6,5.5,4.0,5,4.5,7.0,7.0,7.0,6.0,6.0,6.0
2015 12 07 9,7,7,7.0,8,7,7.5,5.0,3,4.0,9.0,6,7.5,6.0,6.0,6.0,7.0,7.0,7.0
2015 06 17 0,7,6,6.5,3,3,3.0,6.0,6,6.0,4.0,4,4.0,6.0,6.0,6.0,3.0,4.0,3.5
2015 06 17 1,8,7,7.5,2,2,2.0,8.0,6,7.0,2.0,3,2.5,7.0,6.0,6.5,3.0,3.0,3.0
2015 06 17 2,6,6,6.0,3,3,3.0,5.0,7,6.0,4.0,3,3.5,7.0,5.0,6.0,4.0,4.0,4.0
2015 06 17 3,6,7,6.5,8,9,8.5,5.0,5,5.0,8.0,6,7.0,4.0,5.0,4.5,7.0,7.0,7.0
2015 06 17 4,6,6,6.0,4,6,5.0,7.0,6,6.5,4.0,4,4.0,7.0,6.0,6.5,7.0,3.0,5.0
2015 06 17 5,5,6,5.5,8,8,8.0,5.0,5,5.0,7.0,6,6.5,6.0,6.0,6.0,8.0,7.0,7.5
2015 06 17 6,6,8,7.0,4,6,5.0,6.0,6,6.0,1.0,4,2.5,7.0,7.0,7.0,3.0,3.0,3.0
2015 06 17 7,6,7,6.5,2,3,2.5,6.0,7,6.5,0.0,2,1.0,7.0,7.0,7.0,3.0,2.0,2.5
2015 06 17 8,7,7,7.0,0,2,1.0,5.0,6,5.5,2.0,3,2.5,7.0,6.0,6.5,3.0,3.0,3.0
2015 06 17 9,6,7,6.5,4,4,4.0,8.0,5,6.5,5.0,5,5.0,6.0,5.0,5.5,4.0,4.0,4.0
2015 06 12 0,6,6,6.0,7,7,7.0,5.0,5,5.0,7.0,7,7.0,4.0,4.0,4.0,6.0,6.0,6.0
2015 06 12 1,6,7,6.5,8,7,7.5,6.0,4,5.0,9.0,7,8.0,4.0,3.0,3.5,6.0,6.0,6.0
2015 06 12 2,7,7,7.0,2,3,2.5,6.0,6,6.0,6.0,3,4.5,6.0,7.0,6.5,3.0,4.0,3.5
2015 06 12 3,7,6,6.5,8,8,8.0,5.0,5,5.0,10.0,7,8.5,6.0,6.0,6.0,7.0,6.0,6.5
2015 06 12 4,7,6,6.5,2,2,2.0,5.0,6,5.5,3.0,4,3.5,6.0,6.0,6.0,3.0,3.0,3.0
2015 06 12 5,6,6,6.0,6,7,6.5,5.0,6,5.5,5.0,5,5.0,6.0,6.0,6.0,7.0,6.0,6.5
2015 06 12 6,6,7,6.5,7,8,7.5,7.0,6,6.5,5.0,4,4.5,4.0,5.0,4.5,7.0,6.0,6.5
2015 06 12 7,6,6,6.0,9,8,8.5,5.0,5,5.0,9.0,7,8.0,5.0,5.0,5.0,7.0,6.0,6.5
2015 06 12 8,6,6,6.0,7,5,6.0,5.0,5,5.0,7.0,8,7.5,5.0,4.0,4.5,6.0,6.0,6.0
2015 06 12 9,5,6,5.5,5,7,6.0,6.0,5,5.5,5.0,7,6.0,5.0,5.0,5.0,6.0,6.0,6.0
2015 06 09 0,6,7,6.5,0,0,0.0,6.0,6,6.0,1.0,3,2.0,7.0,7.0,7.0,3.0,3.0,3.0
2015 06 09 1,7,7,7.0,1,1,1.0,6.0,6,6.0,4.0,3,3.5,6.0,7.0,6.5,3.0,3.0,3.0
2015 06 09 2,6,6,6.0,2,3,2.5,6.0,6,6.0,4.0,4,4.0,6.0,6.0,6.0,4.0,3.0,3.5
2015 06 09 3,7,7,7.0,2,2,2.0,7.0,6,6.5,3.0,3,3.0,7.0,7.0,7.0,4.0,4.0,4.0
2015 06 09 4,7,8,7.5,2,1,1.5,5.0,5,5.0,3.0,4,3.5,6.0,6.0,6.0,3.0,4.0,3.5
2015 06 09 5,6,7,6.5,2,3,2.5,7.0,5,6.0,2.0,3,2.5,7.0,8.0,7.5,3.0,3.0,3.0
2015 06 09 6,6,7,6.5,8,8,8.0,6.0,5,5.5,10.0,7,8.5,6.0,5.0,5.5,5.0,6.0,5.5
2015 06 09 7,8,7,7.5,0,2,1.0,8.0,7,7.5,1.0,3,2.0,8.0,7.0,7.5,2.0,3.0,2.5
2015 06 09 8,7,7,7.0,9,10,9.5,7.0,5,6.0,10.0,6,8.0,4.0,6.0,5.0,7.0,7.0,7.0
2015 06 09 9,5,6,5.5,6,7,6.5,5.0,5,5.0,5.0,6,5.5,4.0,3.0,3.5,6.0,6.0,6.0
2015 06 04 0,6,7,6.5,9,8,8.5,3.0,3,3.0,8.0,7,7.5,6.0,6.0,6.0,7.0,7.0,7.0
2015 06 04 1,7,7,7.0,3,3,3.0,8.0,5,6.5,5.0,6,5.5,6.0,6.0,6.0,4.0,4.0,4.0
2015 06 04 2,6,7,6.5,8,8,8.0,5.0,5,5.0,9.0,7,8.0,4.0,5.0,4.5,7.0,6.0,6.5
2015 06 04 3,7,7,7.0,2,3,2.5,7.0,6,6.5,3.0,3,3.0,7.0,7.0,7.0,3.0,3.0,3.0
2015 06 04 4,6,6,6.0,3,4,3.5,5.0,5,5.0,5.0,5,5.0,3.0,4.0,3.5,4.0,4.0,4.0
2015 06 04 5,7,8,7.5,0,2,1.0,5.0,5,5.0,2.0,2,2.0,6.0,6.0,6.0,3.0,3.0,3.0
2015 06 04 6,7,7,7.0,2,4,3.0,5.0,6,5.5,6.0,6,6.0,7.0,6.0,6.5,3.0,6.0,4.5
2015 06 04 7,8,7,7.5,2,3,2.5,7.0,6,6.5,2.0,3,2.5,7.0,7.0,7.0,3.0,4.0,3.5
