Video,t1Act1,t1Act2,t1ActAvg,t1Sent1,t1Sent2,t1SentAvg,t2Act1,t2Act2,t2ActAvg,t2Sent1,t2Sent2,t2SentAvg,t3Act1,t3Act2,t3ActAvg,t3Sent1,t3Sent2,t3SentAvg
2015 06 04 8,6,6,6.0,4,3,3.5,5.0,5,5.0,4.0,4,4.0,5.0,6.0,5.5,3.0,4.0,3.5
2015 06 04 9,6,6,6.0,1,3,2.0,7.0,5,6.0,3.0,4,3.5,7.0,7.0,7.0,3.0,3.0,3.0
2015 06 01 0,6,6,6.0,10,9,9.5,5.0,5,5.0,9.0,6,7.5,5.0,5.0,5.0,5.0,6.0,5.5
2015 06 01 1,6,6,6.0,8,8,8.0,4.0,5,4.5,7.0,6,6.5,5.0,6.0,5.5,7.0,7.0,7.0
2015 06 01 2,6,7,6.5,3,3,3.0,6.0,5,5.5,4.0,3,3.5,6.0,5.0,5.5,3.0,4.0,3.5
2015 06 01 3,6,6,6.0,8,7,7.5,5.0,3,4.0,7.0,7,7.0,4.0,5.0,4.5,6.0,6.0,6.0
2015 06 01 4,7,8,7.5,2,2,2.0,7.0,6,6.5,3.0,4,3.5,6.0,7.0,6.5,2.0,3.0,2.5
2015 06 01 5,6,6,6.0,3,3,3.0,3.0,6,4.5,4.0,4,4.0,5.0,5.0,5.0,4.0,4.0,4.0
2015 06 01 6,7,7,7.0,7,9,8.0,6.0,6,6.0,9.0,7,8.0,4.0,5.0,4.5,7.0,7.0,7.0
2015 06 01 7,8,7,7.5,0,1,0.5,8.0,5,6.5,2.0,3,2.5,6.0,7.0,6.5,3.0,3.0,3.0
2015 06 01 8,8,8,8.0,8,7,7.5,7.0,5,6.0,10.0,6,8.0,5.0,7.0,6.0,7.0,7.0,7.0
2015 06 01 9,6,7,6.5,3,6,4.5,6.0,6,6.0,8.0,4,6.0,4.0,6.0,5.0,4.0,4.0,4.0
2015 05 27 0,4,8,6.0,4,4,4.0,5.0,5,5.0,5.0,5,5.0,6.0,6.0,6.0,4.0,4.0,4.0
2015 05 27 1,6,8,7.0,3,3,3.0,6.0,6,6.0,4.0,4,4.0,6.0,6.0,6.0,4.0,4.0,4.0
2015 05 27 2,6,6,6.0,6,8,7.0,7.0,5,6.0,6.0,4,5.0,7.0,5.0,6.0,3.0,4.0,3.5
2015 05 27 3,8,6,7.0,0,2,1.0,9.0,8,8.5,2.0,3,2.5,6.0,8.0,7.0,2.0,3.0,2.5
2015 05 27 4,6,6,6.0,2,3,2.5,6.0,6,6.0,4.0,4,4.0,5.0,6.0,5.5,3.0,3.0,3.0
2015 05 27 5,6,6,6.0,3,3,3.0,6.0,6,6.0,3.0,3,3.0,6.0,6.0,6.0,4.0,4.0,4.0
2015 05 27 6,6,6,6.0,4,4,4.0,7.0,5,6.0,5.0,5,5.0,6.0,5.0,5.5,7.0,6.0,6.5
2015 05 27 7,3,4,3.5,5,5,5.0,5.0,5,5.0,5.0,5,5.0,2.0,3.0,2.5,5.0,5.0,5.0
2015 05 27 8,6,7,6.5,5,4,4.5,5.0,5,5.0,5.0,5,5.0,3.0,5.0,4.0,5.0,6.0,5.5
2015 05 27 9,7,7,7.0,2,3,2.5,8.0,6,7.0,3.0,4,3.5,7.0,6.0,6.5,3.0,4.0,3.5
2015 05 15 0,8,8,8.0,2,2,2.0,7.0,7,7.0,1.0,2,1.5,7.0,6.0,6.5,3.0,3.0,3.0
2015 05 15 1,7,7,7.0,8,9,8.5,5.0,5,5.0,10.0,7,8.5,5.0,6.0,5.5,7.0,7.0,7.0
2015 05 15 2,9,8,8.5,0,2,1.0,7.0,6,6.5,1.0,3,2.0,8.0,8.0,8.0,2.0,2.0,2.0
2015 05 15 3,4,7,5.5,5,4,4.5,4.0,5,4.5,5.0,5,5.0,4.0,5.0,4.5,5.0,5.0,5.0
2015 05 15 4,8,7,7.5,3,2,2.5,8.0,8,8.0,2.0,3,2.5,7.0,6.0,6.5,3.0,4.0,3.5
2015 05 15 5,6,6,6.0,3,3,3.0,9.0,7,8.0,1.0,3,2.0,7.0,6.0,6.5,3.0,4.0,3.5
2015 05 15 6,6,7,6.5,4,3,3.5,5.0,5,5.0,5.0,5,5.0,6.0,4.0,5.0,5.0,5.0,5.0
2015 05 15 7,6,6,6.0,9,10,9.5,5.0,5,5.0,10.0,7,8.5,4.0,5.0,4.5,7.0,7.0,7.0
2015 05 15 8,6,6,6.0,7,7,7.0,8.0,6,7.0,6.0,5,5.5,6.0,6.0,6.0,7.0,7.0,7.0
2015 05 15 9,6,6,6.0,4,4,4.0,4.0,5,4.5,8.0,6,7.0,6.0,4.0,5.0,4.0,6.0,5.0
2015 05 12 0,9,8,8.5,0,0,0.0,10.0,7,8.5,1.0,2,1.5,7.0,7.0,7.0,2.0,3.0,2.5
2015 05 12 1,7,7,7.0,10,10,10.0,5.0,2,3.5,9.0,8,8.5,3.0,5.0,4.0,8.0,7.0,7.5
2015 05 12 2,7,7,7.0,3,3,3.0,10.0,8,9.0,3.0,2,2.5,7.0,6.0,6.5,7.0,4.0,5.5
2015 05 12 3,5,6,5.5,7,7,7.0,5.0,5,5.0,7.0,6,6.5,4.0,5.0,4.5,6.0,6.0,6.0
2015 05 12 4,7,8,7.5,2,2,2.0,5.0,5,5.0,2.0,3,2.5,7.0,7.0,7.0,3.0,3.0,3.0
2015 05 12 5,7,6,6.5,2,3,2.5,6.0,6,6.0,4.0,4,4.0,7.0,6.0,6.5,4.0,3.0,3.5
2015 05 12 6,6,6,6.0,8,8,8.0,6.0,5,5.5,5.0,6,5.5,5.0,6.0,5.5,5.0,6.0,5.5
2015 05 12 7,6,6,6.0,3,3,3.0,7.0,3,5.0,4.0,5,4.5,6.0,6.0,6.0,4.0,4.0,4.0
2015 05 12 8,6,7,6.5,0,2,1.0,5.0,6,5.5,3.0,3,3.0,5.0,7.0,6.0,3.0,3.0,3.0
2015 05 12 9,6,6,6.0,5,5,5.0,5.0,5,5.0,5.0,6,5.5,6.0,6.0,6.0,4.0,4.0,4.0
2015 04 29 0,6,6,6.0,3,3,3.0,6.0,5,5.5,8.0,7,7.5,7.0,6.0,6.5,4.0,4.0,4.0
2015 04 29 1,5,6,5.5,6,4,5.0,6.0,6,6.0,4.0,3,3.5,5.0,5.0,5.0,3.0,4.0,3.5
2015 04 29 2,7,7,7.0,9,10,9.5,6.0,5,5.5,9.0,7,8.0,6.0,5.0,5.5,7.0,7.0,7.0
2015 04 29 3,6,7,6.5,6,6,6.0,5.0,5,5.0,5.0,6,5.5,6.0,5.0,5.5,4.0,5.0,4.5
2015 04 29 4,6,6,6.0,9,8,8.5,5.0,5,5.0,7.0,6,6.5,4.0,4.0,4.0,6.0,6.0,6.0
2015 04 29 5,7,7,7.0,2,2,2.0,6.0,6,6.0,3.0,4,3.5,6.0,5.0,5.5,3.0,5.0,4.0
2015 04 29 6,5,8,6.5,4,2,3.0,6.0,6,6.0,3.0,3,3.0,6.0,6.0,6.0,3.0,3.0,3.0
2015 04 29 7,7,7,7.0,1,3,2.0,7.0,6,6.5,4.0,2,3.0,6.0,6.0,6.0,3.0,2.0,2.5
2015 04 29 8,8,7,7.5,1,3,2.0,9.0,8,8.5,1.0,4,2.5,7.0,7.0,7.0,2.0,3.0,2.5
2015 04 29 9,6,6,6.0,2,2,2.0,6.0,5,5.5,3.0,4,3.5,5.0,6.0,5.5,3.0,3.0,3.0
2015 04 24 0,7,7,7.0,1,2,1.5,6.0,6,6.0,3.0,3,3.0,6.0,6.0,6.0,3.0,3.0,3.0
2015 04 24 1,6,6,6.0,5,4,4.5,5.0,5,5.0,5.0,5,5.0,5.0,5.0,5.0,4.0,4.0,4.0
2015 04 24 2,6,6,6.0,1,0,0.5,7.0,6,6.5,3.0,3,3.0,6.0,7.0,6.5,3.0,3.0,3.0
2015 04 24 3,7,7,7.0,1,2,1.5,5.0,6,5.5,4.0,4,4.0,7.0,5.0,6.0,3.0,3.0,3.0
2015 04 24 4,7,7,7.0,3,3,3.0,8.0,7,7.5,3.0,3,3.0,7.0,7.0,7.0,3.0,3.0,3.0
2015 04 24 5,6,6,6.0,3,2,2.5,6.0,5,5.5,3.0,4,3.5,6.0,6.0,6.0,4.0,3.0,3.5
2015 04 24 6,7,7,7.0,2,2,2.0,6.0,7,6.5,3.0,3,3.0,7.0,7.0,7.0,3.0,3.0,3.0
2015 04 24 7,6,7,6.5,4,3,3.5,6.0,5,5.5,5.0,5,5.0,7.0,7.0,7.0,4.0,3.0,3.5
2015 04 24 8,9,7,8.0,3,3,3.0,5.0,6,5.5,4.0,4,4.0,7.0,6.0,6.5,3.0,3.0,3.0
2015 04 24 9,6,6,6.0,7,8,7.5,5.0,2,3.5,10.0,7,8.5,4.0,5.0,4.5,6.0,6.0,6.0
2015 04 21 0,7,7,7.0,2,3,2.5,6.0,6,6.0,2.0,3,2.5,6.0,6.0,6.0,3.0,3.0,3.0
2015 04 21 1,6,7,6.5,3,3,3.0,6.0,5,5.5,4.0,4,4.0,7.0,7.0,7.0,4.0,3.0,3.5
2015 04 21 2,8,8,8.0,0,2,1.0,9.0,7,8.0,1.0,3,2.0,7.0,8.0,7.5,3.0,3.0,3.0
2015 04 21 3,8,8,8.0,0,0,0.0,8.0,7,7.5,1.0,2,1.5,7.0,6.0,6.5,3.0,3.0,3.0
2015 04 21 4,6,6,6.0,4,4,4.0,9.0,6,7.5,5.0,5,5.0,6.0,4.0,5.0,5.0,5.0,5.0
2015 04 21 5,6,7,6.5,2,1,1.5,7.0,7,7.0,3.0,3,3.0,8.0,7.0,7.5,2.0,3.0,2.5
2015 04 21 6,5,6,5.5,4,5,4.5,5.0,5,5.0,5.0,5,5.0,3.0,4.0,3.5,5.0,5.0,5.0
2015 04 21 7,6,7,6.5,5,6,5.5,6.0,5,5.5,8.0,7,7.5,6.0,5.0,5.5,5.0,7.0,6.0
2015 04 21 8,8,6,7.0,0,1,0.5,8.0,7,7.5,2.0,3,2.5,7.0,7.0,7.0,3.0,3.0,3.0
2015 04 21 9,6,6,6.0,3,3,3.0,5.0,5,5.0,5.0,5,5.0,6.0,5.0,5.5,4.0,5.0,4.5
2015 04 01 0,7,7,7.0,6,4,5.0,8.0,6,7.0,7.0,3,5.0,6.0,5.0,5.5,4.0,4.0,4.0
2015 04 01 1,7,7,7.0,2,2,2.0,5.0,5,5.0,4.0,3,3.5,6.0,6.0,6.0,3.0,4.0,3.5
2015 04 01 2,6,6,6.0,3,3,3.0,6.0,5,5.5,2.0,3,2.5,6.0,6.0,6.0,4.0,4.0,4.0
2015 04 01 3,7,7,7.0,2,3,2.5,6.0,6,6.0,4.0,4,4.0,6.0,4.0,5.0,3.0,3.0,3.0
2015 04 01 4,7,7,7.0,3,2,2.5,9.0,7,8.0,0.0,2,1.0,7.0,7.0,7.0,3.0,3.0,3.0
2015 04 01 5,8,7,7.5,0,0,0.0,5.0,7,6.0,3.0,3,3.0,7.0,7.0,7.0,2.0,2.0,2.0
2015 04 01 6,7,8,7.5,4,4,4.0,8.0,6,7.0,5.0,5,5.0,6.0,7.0,6.5,4.0,4.0,4.0
2015 04 01 7,6,6,6.0,3,2,2.5,7.0,6,6.5,4.0,4,4.0,5.0,6.0,5.5,4.0,3.0,3.5
2015 04 01 8,7,7,7.0,0,2,1.0,7.0,5,6.0,3.0,3,3.0,8.0,7.0,7.5,1.0,3.0,2.0
2015 04 01 9,7,7,7.0,3,3,3.0,8.0,7,7.5,1.0,3,2.0,6.0,7.0,6.5,3.0,3.0,3.0
2015 03 27 0,7,7,7.0,2,2,2.0,6.0,5,5.5,3.0,3,3.0,6.0,6.0,6.0,3.0,3.0,3.0
2015 03 27 1,7,7,7.0,7,6,6.5,5.0,5,5.0,8.0,7,7.5,6.0,6.0,6.0,3.0,4.0,3.5
2015 03 27 2,6,6,6.0,1,2,1.5,5.0,6,5.5,3.0,3,3.0,7.0,6.0,6.5,3.0,3.0,3.0
2015 03 27 3,7,7,7.0,2,3,2.5,6.0,5,5.5,4.0,3,3.5,6.0,6.0,6.0,3.0,4.0,3.5
2015 03 27 4,8,8,8.0,0,1,0.5,7.0,8,7.5,2.0,3,2.5,8.0,8.0,8.0,2.0,2.0,2.0
2015 03 27 5,9,7,8.0,1,3,2.0,7.0,8,7.5,4.0,2,3.0,8.0,8.0,8.0,2.0,2.0,2.0
2015 03 27 6,8,7,7.5,0,2,1.0,7.0,6,6.5,1.0,3,2.0,7.0,7.0,7.0,2.0,3.0,2.5
2015 03 27 7,6,7,6.5,2,3,2.5,4.0,5,4.5,3.0,3,3.0,6.0,6.0,6.0,3.0,4.0,3.5
2015 03 27 8,7,6,6.5,8,7,7.5,6.0,5,5.5,8.0,7,7.5,6.0,6.0,6.0,7.0,6.0,6.5
2015 03 27 9,6,6,6.0,4,4,4.0,5.0,6,5.5,5.0,4,4.5,5.0,6.0,5.5,4.0,4.0,4.0
2015 03 24 0,6,7,6.5,1,2,1.5,5.0,5,5.0,4.0,4,4.0,6.0,6.0,6.0,4.0,3.0,3.5
2015 03 24 1,8,7,7.5,2,3,2.5,6.0,7,6.5,3.0,4,3.5,4.0,6.0,5.0,3.0,4.0,3.5
2015 03 24 2,6,7,6.5,3,3,3.0,9.0,6,7.5,4.0,4,4.0,6.0,7.0,6.5,4.0,4.0,4.0
2015 03 24 3,5,6,5.5,7,7,7.0,5.0,5,5.0,5.0,5,5.0,3.0,4.0,3.5,5.0,6.0,5.5
2015 03 24 4,5,7,6.0,8,7,7.5,0.0,3,1.5,7.0,7,7.0,4.0,4.0,4.0,7.0,6.0,6.5
2015 03 24 5,7,7,7.0,7,7,7.0,5.0,3,4.0,9.0,6,7.5,6.0,6.0,6.0,7.0,6.0,6.5
2015 03 24 6,5,6,5.5,6,6,6.0,6.0,5,5.5,7.0,7,7.0,5.0,5.0,5.0,6.0,6.0,6.0
2015 03 24 7,7,7,7.0,0,2,1.0,6.0,6,6.0,4.0,4,4.0,7.0,7.0,7.0,3.0,3.0,3.0
2015 03 24 8,7,8,7.5,0,1,0.5,8.0,5,6.5,3.0,4,3.5,7.0,6.0,6.5,3.0,3.0,3.0
2015 03 24 9,6,6,6.0,3,3,3.0,6.0,6,6.0,5.0,4,4.5,6.0,6.0,6.0,4.0,4.0,4.0
2015 03 12 0,6,6,6.0,2,2,2.0,6.0,6,6.0,3.0,3,3.0,6.0,6.0,6.0,4.0,4.0,4.0
2015 03 12 1,7,7,7.0,1,3,2.0,9.0,6,7.5,2.0,4,3.0,7.0,6.0,6.5,3.0,3.0,3.0
2015 03 12 2,6,7,6.5,2,2,2.0,7.0,5,6.0,3.0,4,3.5,6.0,6.0,6.0,4.0,3.0,3.5
2015 03 12 3,6,7,6.5,0,3,1.5,7.0,6,6.5,3.0,4,3.5,6.0,6.0,6.0,4.0,3.0,3.5
2015 03 12 4,7,6,6.5,7,6,6.5,4.0,6,5.0,6.0,4,5.0,5.0,5.0,5.0,3.0,4.0,3.5
2015 03 12 5,6,6,6.0,8,8,8.0,5.0,5,5.0,9.0,8,8.5,6.0,6.0,6.0,6.0,7.0,6.5
2015 03 12 6,8,7,7.5,1,2,1.5,6.0,7,6.5,1.0,3,2.0,7.0,8.0,7.5,2.0,3.0,2.5
2015 03 12 7,8,7,7.5,3,3,3.0,7.0,7,7.0,2.0,3,2.5,8.0,7.0,7.5,2.0,3.0,2.5
2015 03 12 8,6,6,6.0,4,4,4.0,5.0,5,5.0,4.0,5,4.5,5.0,5.0,5.0,5.0,4.0,4.5
2015 03 12 9,6,7,6.5,2,2,2.0,6.0,5,5.5,3.0,3,3.0,6.0,6.0,6.0,3.0,3.0,3.0
2015 03 09 0,7,7,7.0,0,2,1.0,5.0,5,5.0,4.0,3,3.5,6.0,6.0,6.0,3.0,3.0,3.0
2015 03 09 1,6,7,6.5,3,3,3.0,7.0,6,6.5,4.0,4,4.0,7.0,6.0,6.5,3.0,4.0,3.5
2015 03 09 2,7,8,7.5,1,2,1.5,6.0,6,6.0,2.0,4,3.0,7.0,6.0,6.5,3.0,3.0,3.0
2015 03 09 3,5,6,5.5,4,6,5.0,5.0,5,5.0,6.0,5,5.5,4.0,5.0,4.5,5.0,6.0,5.5
2015 03 09 4,6,6,6.0,3,3,3.0,6.0,5,5.5,5.0,4,4.5,7.0,7.0,7.0,3.0,3.0,3.0
2015 03 09 5,6,7,6.5,6,6,6.0,6.0,5,5.5,6.0,5,5.5,6.0,6.0,6.0,5.0,3.0,4.0
2015 03 09 6,6,6,6.0,7,7,7.0,6.0,6,6.0,2.0,3,2.5,6.0,7.0,6.5,4.0,6.0,5.0
2015 03 09 7,6,7,6.5,2,3,2.5,7.0,7,7.0,4.0,3,3.5,7.0,3.0,5.0,3.0,3.0,3.0
2015 03 09 8,7,7,7.0,3,4,3.5,7.0,7,7.0,1.0,3,2.0,6.0,7.0,6.5,4.0,4.0,4.0
2015 03 09 9,6,6,6.0,3,6,4.5,6.0,5,5.5,8.0,7,7.5,3.0,5.0,4.0,6.0,6.0,6.0
2015 02 25 0,7,6,6.5,7,7,7.0,1.0,2,1.5,8.0,7,7.5,4.0,4.0,4.0,5.0,6.0,5.5
2015 02 25 1,6,7,6.5,3,3,3.0,5.0,5,5.0,3.0,3,3.0,6.0,7.0,6.5,3.0,3.0,3.0
2015 02 25 2,6,7,6.5,2,2,2.0,5.0,6,5.5,4.0,3,3.5,6.0,6.0,6.0,4.0,3.0,3.5
2015 02 25 3,6,6,6.0,7,7,7.0,6.0,5,5.5,7.0,6,6.5,5.0,5.0,5.0,7.0,7.0,7.0
2015 02 25 4,7,8,7.5,0,0,0.0,8.0,6,7.0,1.0,3,2.0,8.0,7.0,7.5,2.0,3.0,2.5
2015 02 25 5,7,7,7.0,2,3,2.5,7.0,6,6.5,6.0,4,5.0,6.0,6.0,6.0,4.0,4.0,4.0
2015 02 25 6,6,6,6.0,6,7,6.5,8.0,5,6.5,5.0,5,5.0,4.0,4.0,4.0,6.0,6.0,6.0
2015 02 25 7,5,5,5.0,6,6,6.0,5.0,5,5.0,7.0,7,7.0,5.0,5.0,5.0,7.0,6.0,6.5
2015 02 25 8,7,7,7.0,8,8,8.0,3.0,4,3.5,8.0,7,7.5,5.0,4.0,4.5,7.0,6.0,6.5
2015 02 25 9,6,6,6.0,7,7,7.0,2.0,3,2.5,7.0,7,7.0,3.0,5.0,4.0,6.0,6.0,6.0
2015 02 20 0,6,8,7.0,1,0,0.5,7.0,7,7.0,2.0,2,2.0,8.0,7.0,7.5,2.0,2.0,2.0
2015 02 20 1,6,6,6.0,0,0,0.0,7.0,7,7.0,1.0,2,1.5,7.0,7.0,7.0,2.0,3.0,2.5
2015 02 20 2,8,7,7.5,2,3,2.5,7.0,6,6.5,2.0,3,2.5,7.0,7.0,7.0,3.0,3.0,3.0
2015 02 20 3,6,8,7.0,4,2,3.0,7.0,8,7.5,2.0,1,1.5,7.0,6.0,6.5,3.0,3.0,3.0
2015 02 20 4,6,6,6.0,3,3,3.0,7.0,7,7.0,3.0,3,3.0,7.0,7.0,7.0,3.0,3.0,3.0
2015 02 20 5,7,7,7.0,1,1,1.0,8.0,5,6.5,3.0,2,2.5,7.0,7.0,7.0,3.0,3.0,3.0
2015 02 20 6,8,7,7.5,1,2,1.5,7.0,7,7.0,1.0,3,2.0,7.0,7.0,7.0,3.0,3.0,3.0
2015 02 20 7,6,7,6.5,10,10,10.0,6.0,5,5.5,9.0,6,7.5,3.0,6.0,4.5,6.0,7.0,6.5
2015 02 20 8,6,7,6.5,4,3,3.5,6.0,5,5.5,5.0,6,5.5,6.0,5.0,5.5,7.0,6.0,6.5
2015 02 20 9,6,6,6.0,1,1,1.0,5.0,6,5.5,1.0,3,2.0,7.0,6.0,6.5,3.0,3.0,3.0
2015 02 17 0,7,7,7.0,3,3,3.0,7.0,5,6.0,3.0,6,4.5,6.0,7.0,6.5,3.0,3.0,3.0
2015 02 17 1,5,8,6.5,8,8,8.0,7.0,4,5.5,10.0,7,8.5,6.0,5.0,5.5,7.0,7.0,7.0
2015 02 17 2,7,7,7.0,3,2,2.5,4.0,5,4.5,4.0,4,4.0,6.0,5.0,5.5,4.0,4.0,4.0
2015 02 17 3,5,7,6.0,8,8,8.0,5.0,5,5.0,9.0,8,8.5,4.0,5.0,4.5,7.0,7.0,7.0
2015 02 17 4,7,7,7.0,2,3,2.5,7.0,7,7.0,0.0,2,1.0,7.0,7.0,7.0,2.0,3.0,2.5
2015 02 17 5,7,6,6.5,7,6,6.5,7.0,5,6.0,7.0,6,6.5,7.0,5.0,6.0,6.0,6.0,6.0
2015 02 17 6,8,8,8.0,0,0,0.0,10.0,8,9.0,0.0,1,0.5,9.0,9.0,9.0,1.0,2.0,1.5
2015 02 17 7,7,7,7.0,2,3,2.5,6.0,6,6.0,4.0,4,4.0,6.0,5.0,5.5,3.0,4.0,3.5
2015 02 17 8,6,6,6.0,4,3,3.5,8.0,6,7.0,6.0,5,5.5,7.0,6.0,6.5,3.0,3.0,3.0
2015 02 17 9,7,6,6.5,10,10,10.0,4.0,5,4.5,8.0,8,8.0,4.0,5.0,4.5,7.0,7.0,7.0
2015 02 05 0,6,6,6.0,6,4,5.0,7.0,6,6.5,6.0,5,5.5,6.0,5.0,5.5,4.0,4.0,4.0
2015 02 05 1,7,6,6.5,2,3,2.5,6.0,6,6.0,3.0,4,3.5,6.0,6.0,6.0,3.0,3.0,3.0
2015 02 05 2,9,8,8.5,0,0,0.0,10.0,8,9.0,0.0,2,1.0,6.0,7.0,6.5,3.0,3.0,3.0
2015 02 05 3,6,6,6.0,7,7,7.0,5.0,5,5.0,5.0,6,5.5,3.0,4.0,3.5,5.0,5.0,5.0
2015 02 05 4,6,6,6.0,3,2,2.5,5.0,5,5.0,3.0,5,4.0,5.0,6.0,5.5,4.0,4.0,4.0
2015 02 05 5,6,7,6.5,3,3,3.0,8.0,6,7.0,2.0,2,2.0,7.0,6.0,6.5,3.0,4.0,3.5
2015 02 05 6,7,7,7.0,3,4,3.5,8.0,5,6.5,6.0,6,6.0,5.0,7.0,6.0,6.0,6.0,6.0
2015 02 05 7,7,7,7.0,3,3,3.0,5.0,5,5.0,5.0,5,5.0,3.0,6.0,4.5,4.0,4.0,4.0
2015 02 05 8,6,7,6.5,9,7,8.0,6.0,5,5.5,6.0,6,6.0,6.0,6.0,6.0,4.0,4.0,4.0
2015 02 05 9,6,6,6.0,3,3,3.0,5.0,5,5.0,5.0,4,4.5,5.0,5.0,5.0,4.0,4.0,4.0
2015 01 28 0,8,6,7.0,1,2,1.5,7.0,6,6.5,3.0,4,3.5,6.0,5.0,5.5,4.0,4.0,4.0
2015 01 28 1,7,8,7.5,4,4,4.0,5.0,5,5.0,5.0,5,5.0,6.0,6.0,6.0,5.0,4.0,4.5
2015 01 28 2,6,8,7.0,4,3,3.5,7.0,7,7.0,3.0,3,3.0,5.0,5.0,5.0,4.0,3.0,3.5
2015 01 28 3,5,5,5.0,7,7,7.0,7.0,7,7.0,4.0,5,4.5,6.0,5.0,5.5,5.0,4.0,4.5
2015 01 28 4,6,6,6.0,2,3,2.5,7.0,5,6.0,3.0,3,3.0,6.0,5.0,5.5,3.0,3.0,3.0
2015 01 28 5,7,8,7.5,3,2,2.5,10.0,6,8.0,0.0,4,2.0,8.0,7.0,7.5,3.0,3.0,3.0
2015 01 28 6,7,6,6.5,9,8,8.5,5.0,3,4.0,8.0,7,7.5,4.0,5.0,4.5,7.0,6.0,6.5
2015 01 28 7,5,6,5.5,3,3,3.0,6.0,5,5.5,4.0,4,4.0,6.0,4.0,5.0,4.0,4.0,4.0
2015 01 28 8,7,6,6.5,0,0,0.0,7.0,6,6.5,1.0,3,2.0,8.0,7.0,7.5,2.0,3.0,2.5
2015 01 28 9,6,7,6.5,6,4,5.0,7.0,6,6.5,2.0,2,2.0,7.0,6.0,6.5,3.0,6.0,4.5
